Date,Open,High,Low,Close,Volume
1/1/2017,13.95,13.96,13.31,13.38,4226243
1/2/2017,13.31,13.7,12.53,13.01,6417857
1/3/2017,13.02,13.35,12.97,13.18,3367464
1/4/2017,13.07,13.99,13.05,13.5,5449390
1/5/2017,15.08,15.44,14.12,14.22,15074138
1/6/2017,14.7,14.7,14.33,14.52,4017633
1/7/2017,14.83,14.89,14.06,14.3,4677659
1/8/2017,14.28,14.31,13.7,13.82,3854378
1/9/2017,14.04,14.45,13.75,14.15,5671831
1/10/2017,14.32,14.32,13.47,13.8,4137552
1/11/2017,13.64,13.7,13.48,13.65,1790747
1/12/2017,13.54,13.65,13.2,13.41,1991837
1/13/2017,13.31,13.87,13.3,13.51,3056975
1/14/2017,13.4,13.72,13.3,13.48,1985234
1/15/2017,13.4,13.51,12.85,12.92,4096322
1/16/2017,12.91,13.1,12.41,12.52,4528225
1/17/2017,12.4,12.83,12.2,12.37,3583312
1/18/2017,12.92,12.98,12.36,12.43,3845703
1/19/2017,12.43,12.6,12.02,12.08,2889698
1/20/2017,12.09,14.2,11.21,13.91,27599982
1/21/2017,13.4,13.47,12.54,12.54,11034316
1/22/2017,12.49,12.79,11.92,11.99,6564834
1/23/2017,12.1,12.95,11.7,12.44,8604507
1/24/2017,12.4,12.55,11.89,12,3814494
1/25/2017,10.71,10.84,10.21,10.42,13168651
1/26/2017,10.26,10.4,9.75,10.09,7094489
1/27/2017,10.1,10.19,9.63,9.68,4609075
1/28/2017,9.62,9.95,9.48,9.57,3884378
1/29/2017,9.61,9.67,9.36,9.4,3802707
